id,name,type,value
1,4194 Hoffman Lane,house,936390
2,0191 Loomis Junction,house,695942
3,465 Rieder Plaza,house,86775
4,3 Coolidge Parkway,house,95697
5,974 Beilfuss Junction,house,178672
6,6319 Laurel Point,house,73966
7,06 Moose Street,house,132014
8,81552 Granby Drive,house,510227
9,620 Algoma Drive,house,651984
10,7 Melvin Place,house,267788
11,6 Grasskamp Avenue,house,73574
12,620 Bluestem Drive,house,531392
13,2 Lakewood Gardens Circle,house,647787
14,76785 Talmadge Junction,house,695368
15,005 Florence Road,house,906976
16,73 Lukken Point,house,832813
17,172 Utah Street,house,823928
18,18737 Sachtjen Place,house,891631
19,0 Blue Bill Park Pass,house,137401
20,541 Corben Pass,house,763244
21,74 5th Alley,house,266450
22,7505 Onsgard Junction,house,721429
23,844 Sauthoff Circle,house,766731
24,6582 Macpherson Lane,house,619837
25,82 Rowland Drive,house,138344
26,009 Scoville Plaza,house,236224
27,3868 Jay Hill,house,741781
28,31 Sullivan Court,house,338083
29,82 Waubesa Place,house,89295
30,787 Brown Center,house,508665
31,89396 Beilfuss Park,house,269657
32,737 Esch Center,house,929088
33,9 Jackson Pass,house,504043
34,387 Rutledge Terrace,house,295130
35,95529 Haas Hill,house,613106
36,5 Golden Leaf Court,house,462122
37,955 Manley Place,house,921680
38,5 Hoard Road,house,334207
39,2 Crest Line Avenue,house,732482
40,7738 Arrowood Park,house,185448
41,440 Hazelcrest Point,house,605451
42,08 Oak Valley Alley,house,278644
43,48 Steensland Place,house,407471
44,008 Kim Way,house,700048
45,39179 Texas Hill,house,185260
46,6 Canary Avenue,house,101519
47,8926 Eagle Crest Drive,house,236806
48,962 Jenna Lane,house,213182
49,646 Fair Oaks Court,house,687615
50,6 Mayer Park,house,986877
51,339 Green Ridge Trail,house,704542
52,9141 Mosinee Pass,house,871870
53,17 Daystar Drive,house,102372
54,313 Elmside Terrace,house,961886
55,07 Eggendart Lane,house,419322
56,28401 Red Cloud Way,house,430394
57,72 Birchwood Lane,house,836479
58,4 Blaine Circle,house,642546
59,82197 Memorial Terrace,house,852751
60,9 Twin Pines Terrace,house,294004
61,07591 Dayton Point,house,724645
62,50 Haas Junction,house,951763
63,1 Sycamore Park,house,447703
64,05 Hoffman Alley,house,750663
65,05919 Westridge Point,house,837064
66,80 Fremont Court,house,927035
67,28 Sauthoff Hill,house,60718
68,03140 Miller Street,house,781575
69,89 Forest Terrace,house,148057
70,489 Westend Pass,house,707213
71,38448 Brickson Park Road,house,784810
72,7350 Weeping Birch Place,house,922711
73,1686 Golf Plaza,house,435119
74,284 Village Parkway,house,955155
75,6 Brentwood Court,house,425729
76,709 Upham Trail,house,339504
77,95 Bonner Point,house,678879
78,7745 Kipling Pass,house,311922
79,3 Golden Leaf Point,house,635258
80,7 Waywood Street,house,608523
81,3317 Swallow Parkway,house,674479
82,837 Blaine Road,house,849226
83,91 Onsgard Pass,house,369952
84,10 Blaine Terrace,house,459658
85,466 Oak Valley Point,house,516899
86,4032 Logan Place,house,824997
87,6399 Rigney Trail,house,497238
88,845 Cody Place,house,598529
89,4386 Fallview Way,house,918777
90,0 1st Alley,house,109368
91,6242 Debs Terrace,house,249003
92,463 Redwing Alley,house,206342
93,60644 Kensington Street,house,976372
94,82448 Memorial Street,house,485544
95,2 Acker Park,house,859830
96,4 Buena Vista Court,house,327091
97,918 Dwight Court,house,490389
98,393 Ronald Regan Plaza,house,953127
99,90438 Paget Parkway,house,65808
100,5 Fordem Court,house,191983
101,289 Ohio Park,house,617306
102,6 Glendale Crossing,house,125130
103,1245 Stang Crossing,house,972750
104,2 Kedzie Drive,house,84133
105,8557 Laurel Trail,house,181204
106,9 Portage Avenue,house,245140
107,44 Algoma Alley,house,120128
108,2 Kensington Lane,house,815748
109,0762 Arizona Park,house,870415
110,52556 Longview Center,house,930212
111,188 Toban Place,house,586433
112,40 Bluejay Terrace,house,767659
113,443 Meadow Valley Plaza,house,924875
114,54473 Bartillon Way,house,327391
115,77 Lerdahl Drive,house,385535
116,924 East Pass,house,65848
117,44 3rd Court,house,88217
118,3669 Acker Court,house,992701
119,52 Ilene Point,house,455332
120,5 Marquette Avenue,house,71375
121,8 Shelley Place,house,227592
122,9 Butternut Crossing,house,531191
123,27 Merrick Avenue,house,230577
124,38 Golf View Alley,house,277731
125,5 Merry Crossing,house,980284
126,2019 Lexus RX,car,24217
127,2018 Jeep Wrangler,car,25189
128,2007 Mercedes-Benz C-Class,car,4075
129,2011 Hyundai Sonata,car,54612
130,2007 Mercedes-Benz C-Class,car,7332
131,2016 Tesla Model S,car,12726
132,2017 Cadillac Escalade,car,10109
133,2017 BMW 3 Series,car,4611
134,2007 Mercedes-Benz C-Class,car,5475
135,2005 Mazda3,car,17682
136,2017 BMW 3 Series,car,12711
137,2006 Nissan Altima,car,41544
138,2019 Lexus RX,car,47178
139,2018 Jeep Wrangler,car,28113
140,2014 Porsche 911,car,6831
141,2019 Lexus RX,car,58591
142,2008 Toyota Camry,car,9590
143,2012 Kia Optima,car,10277
144,2005 Mazda3,car,12792
145,2016 Tesla Model S,car,21282
146,2018 Jeep Wrangler,car,50388
147,2007 Mercedes-Benz C-Class,car,23618
148,2014 Volkswagen Jetta,car,47075
149,2019 Lexus RX,car,26335
150,2017 BMW 3 Series,car,52922
151,2013 Subaru Outback,car,29916
152,2015 Honda Civic,car,59860
153,2010 Ford Mustang,car,39907
154,2009 GMC Sierra,car,25958
155,2008 Dodge Ram,car,21013
156,2006 Nissan Altima,car,40237
157,2014 Porsche 911,car,28395
158,2018 Jeep Wrangler,car,45886
159,2012 Kia Optima,car,15340
160,2017 BMW 3 Series,car,43830
161,2012 Kia Optima,car,42992
162,2016 Tesla Model S,car,29471
163,2008 Toyota Camry,car,35660
164,2019 Lexus RX,car,41578
165,2012 Kia Optima,car,55063
166,2013 Subaru Outback,car,51264
167,2008 Toyota Camry,car,58324
168,2012 Chevrolet Silverado,car,51516
169,2015 Honda Civic,car,46987
170,2019 Lexus RX,car,58209
171,2012 Kia Optima,car,18167
172,2014 Volkswagen Jetta,car,15222
173,2014 Porsche 911,car,34633
174,2012 Kia Optima,car,46648
175,2005 Mazda3,car,32752
176,2008 Toyota Camry,car,16648
177,2012 Chevrolet Silverado,car,44127
178,2017 Cadillac Escalade,car,17206
179,2013 Subaru Outback,car,6777
180,2012 Chevrolet Silverado,car,31967
181,2019 Lexus RX,car,39530
182,2009 GMC Sierra,car,16487
183,2013 Subaru Outback,car,10037
184,2008 Dodge Ram,car,39622
185,2014 Porsche 911,car,5080
186,2016 Tesla Model S,car,58813
187,2005 Mazda3,car,22014
188,2019 Lexus RX,car,17477
189,2013 Subaru Outback,car,19676
190,2017 BMW 3 Series,car,21436
191,2013 Subaru Outback,car,55340
192,2016 Tesla Model S,car,58911
193,2011 Hyundai Sonata,car,20699
194,2016 Audi A4,car,22110
195,2015 Honda Civic,car,2925
196,2008 Toyota Camry,car,7888
197,2014 Volkswagen Jetta,car,19968
198,2010 Ford Mustang,car,58300
199,2008 Toyota Camry,car,29233
200,2007 Mercedes-Benz C-Class,car,48932
201,2005 Mazda3,car,23538
202,2012 Kia Optima,car,46688
203,2010 Ford Mustang,car,10512
204,2008 Dodge Ram,car,32286
205,2014 Porsche 911,car,17761
206,2006 Nissan Altima,car,55983
207,2007 Mercedes-Benz C-Class,car,33161
208,2006 Nissan Altima,car,40527
209,2015 Honda Civic,car,27230
210,2016 Audi A4,car,13256
211,2007 Mercedes-Benz C-Class,car,25128
212,2018 Jeep Wrangler,car,33130
